matrix,seq,sq,par2sq-2,par2sq-4,par2sq-8,par2sq-16,par2sq-32
10 - 2,0.000015,0.000011,0.000169,0.000448,0.000722,0.001239,0.042168
100 - 4,0.001643,0.008960,0.007844,0.010691,0.012214,0.016576,0.018775
100 - 20,0.001646,0.005179,0.004403,0.005247,0.005530,0.006293,0.016912
600 - 24,0.231463,0.982011,0.776226,0.818994,0.834718,0.867271,0.864987
600 - 200,0.231703,0.950470,0.721738,0.729795,0.737035,0.747475,0.746903
1000 - 8,1.028347,4.791221,3.916542,2.946729,3.112774,6.794623,6.870496
1000 - 40,1.026244,4.441262,3.503985,3.598926,3.619201,3.683595,3.749780
1200 - 16,1.753088,12.384381,6.615541,7.134091,7.475845,8.05841,8.232826
2000 - 16,7.930652,63.744825,30.519153,32.291391,33.926954,36.912498,38.424911
4000 - 32,68.245963,447.400164,250.198066,258.190915,263.738530,274.874735,282.557355
6000 - 16,228.992592,1886.99601,846.094709,922.686566,930.831764,1002.658677,1065.1527613
8000 - 64,546.122367,2246.798541,1755.2931423,1787.154109,1828.743115,1849.104650,2009.730821
